id,name,plugin_rule_key,plugin_config_key,plugin_name,description,priority,template_id,status,language,note_created_at,note_updated_at,note_user_login,note_data,remediation_function,def_remediation_function,remediation_gap_mult,def_remediation_gap_mult,remediation_base_effort,def_remediation_base_effort,gap_description,tags,system_tags,is_template,description_format,created_at,updated_at,rule_type
10,Source files should not have any duplicated blocks,DuplicatedBlocks,,common-java,,2,,READY,java,,,,,,LINEAR_OFFSET,,10min,,10min,number of duplicate blocks,,pitfall,0,HTML,1477918943923,1477918943923,1
414,Try-with-resources should be used,S2093,,squid,,3,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,"cert,pitfall",0,HTML,1477918944378,1478139862378,1
416,Return values should not be ignored when they contain the operation status code,S899,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,"cert,cwe,error-handling,misra",0,HTML,1477918944381,1478139862382,3
417,Resources should be closed,S2095,,squid,,4,,READY,java,,,,,,CONSTANT_ISSUE,,,,5min,,,"cert,cwe,denial-of-service,leak",0,HTML,1477918944382,1478139862383,2
418,Classes should not be empty,S2094,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,5min,,,clumsy,0,HTML,1477918944383,1478139862385,1
421,""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs,S1206,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,"cert,cwe",0,HTML,1477918944386,1478139862387,2
430,""public static"" fields should be constant,S1444,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,20min,,,"cert,cwe",0,HTML,1477918944397,1478139862400,3
431,Modifiers should be declared in the correct order,ModifiersOrderCheck,S1124,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,2min,,,convention,0,HTML,1477918944398,1478139862401,1
434,Inheritance tree of classes should not be too deep,MaximumInheritanceDepth,S110,squid,,2,,READY,java,,,,,,LINEAR_OFFSET,,30min,,4h,Number of parents above the defined threshold,,design,0,HTML,1477918944401,1478139862405,1
438,Declarations should use Java collection interfaces such as ""List"" rather than specific implementation classes such as ""LinkedList"",S1319,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,bad-practice,0,HTML,1477918944405,1478139862409,1
443,IP addresses should not be hardcoded,S1313,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,30min,,,cert,0,HTML,1477918944409,1478139862415,3
444,Non-thread-safe fields should not be static,S2885,,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,multi-threading,0,HTML,1477918944410,1478139862415,2
446,The Object.finalize() method should not be overriden,ObjectFinalizeOverridenCheck,S1113,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,20min,,,"cert,unpredictable",0,HTML,1477918944411,1478139862417,2
447,""for"" loop stop conditions should be invariant,ForLoopCounterChangedCheck,S127,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,"misra,pitfall",0,HTML,1477918944412,1478139862418,1
448,"Method parameters, caught exceptions and foreach variables should not be reassigned",S1226,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,5min,,,"misra,pitfall",0,HTML,1477918944413,1478139862419,2
451,""Threads"" should not be used where ""Runnables"" are expected,S2438,,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,"multi-threading,pitfall",0,HTML,1477918944414,1478139862422,1
452,The default unnamed package should not be used,S1220,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,10min,,,convention,0,HTML,1477918944415,1478139862422,1
457,Methods should not return constants,S3400,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,5min,,,confusing,0,HTML,1477918944418,1478139862426,1
461,Execution of the Garbage Collector should be triggered only by the JVM,S1215,,squid,,2,,READY,java,,,,,,CONSTANT_ISSUE,,,,30min,,,"bad-practice,unpredictable",0,HTML,1477918944421,1478139862429,1
466,""equals(Object obj)"" should be overridden along with the ""compareTo(T obj)"" method,S1210,,squid,,1,,READY,java,,,,,,CONSTANT_ISSUE,,,,15min,,,,0,HTML,1477918944425,1478139862442,2
